level 1 :
author rank:Enty [id=223, score=14.75]
author rank:Enty [id=972, score=14.25]
author rank:Enty [id=434, score=13.75]
author rank:Enty [id=3, score=12.75]
author rank:Enty [id=7, score=12.75]
author rank:Enty [id=32, score=12.75]
author rank:Enty [id=1, score=12.25]
author rank:Enty [id=260, score=12.25]
author rank:Enty [id=152, score=11.25]
author rank:Enty [id=183, score=11.25]
author rank:Enty [id=5, score=9.75]
author rank:Enty [id=6, score=9.75]
author rank:Enty [id=420, score=9.75]
author rank:Enty [id=15, score=9.25]
author rank:Enty [id=2, score=9.25]
author rank:Enty [id=614, score=8.75]
author rank:Enty [id=218, score=8.75]
author rank:Enty [id=446, score=8.25]
author rank:Enty [id=23, score=8.25]
author rank:Enty [id=49, score=8.25]
author rank:Enty [id=47, score=8.25]
author rank:Enty [id=24, score=7.75]
author rank:Enty [id=811, score=7.75]
author rank:Enty [id=31, score=7.25]
author rank:Enty [id=90, score=7.25]
author rank:Enty [id=570, score=7.25]
author rank:Enty [id=36, score=6.75]
author rank:Enty [id=608, score=6.75]
author rank:Enty [id=753, score=6.75]
author rank:Enty [id=616, score=6.75]
author rank:Enty [id=723, score=6.75]
author rank:Enty [id=813, score=6.75]
author rank:Enty [id=701, score=6.25]
author rank:Enty [id=403, score=6.25]
author rank:Enty [id=541, score=6.25]
author rank:Enty [id=643, score=6.25]
author rank:Enty [id=110, score=5.75]
author rank:Enty [id=109, score=5.75]
author rank:Enty [id=11, score=5.75]
author rank:Enty [id=810, score=5.75]
author rank:Enty [id=1685, score=5.75]
author rank:Enty [id=14, score=5.75]
author rank:Enty [id=621, score=5.75]
author rank:Enty [id=791, score=5.75]
author rank:Enty [id=623, score=5.75]
author rank:Enty [id=961, score=5.75]
author rank:Enty [id=774, score=5.75]
author rank:Enty [id=439, score=5.75]
author rank:Enty [id=263, score=5.25]
author rank:Enty [id=10, score=5.25]
author rank:Enty [id=603, score=5.25]
author rank:Enty [id=793, score=5.25]
author rank:Enty [id=648, score=4.75]
author rank:Enty [id=647, score=4.75]
author rank:Enty [id=609, score=4.75]
author rank:Enty [id=941, score=4.75]
author rank:Enty [id=613, score=4.75]
author rank:Enty [id=615, score=4.75]
author rank:Enty [id=620, score=4.75]
author rank:Enty [id=622, score=4.75]
author rank:Enty [id=271, score=4.75]
author rank:Enty [id=633, score=4.75]
author rank:Enty [id=823, score=4.25]
author rank:Enty [id=25, score=4.25]
author rank:Enty [id=474, score=4.25]
author rank:Enty [id=43, score=4.25]
author rank:Enty [id=855, score=4.25]
author rank:Enty [id=923, score=4.25]
author rank:Enty [id=313, score=4.25]
author rank:Enty [id=367, score=3.75]
author rank:Enty [id=801, score=3.75]
author rank:Enty [id=634, score=3.75]
author rank:Enty [id=487, score=3.75]
author rank:Enty [id=431, score=3.25]
author rank:Enty [id=161, score=3.25]
author rank:Enty [id=71, score=3.25]
author rank:Enty [id=67, score=3.25]
author rank:Enty [id=27, score=3.25]
author rank:Enty [id=191, score=3.25]
author rank:Enty [id=197, score=3.25]
author rank:Enty [id=193, score=3.25]
author rank:Enty [id=353, score=3.25]
author rank:Enty [id=636, score=3.25]
author rank:Enty [id=594, score=2.75]
author rank:Enty [id=595, score=2.75]
